toxin	n. 毒素, 毒质
toxicity	n. 毒性，毒效
toxicology	n. 毒物学
neurotoxin	n. [生化]神经毒素
tenuous	adj. 稀薄的,微细的 贫乏的;平淡的;脆弱的,无力的
attenuated	v.变细, 稀释,变弱 adj.细的,薄的,减少的
extenuating	adj. 使减轻的，情有可原的
distend	v. 扩大, 扩张, 吹大
technocrat	n. 技术人员, 技术专家政治论者
technophobe	n. 技术恐惧者
technophile	n.技术爱好者
pyrotechnic	adj. 烟火的, 灿烂的 n. 烟火，烟火中的易燃材料 =pyrotechnical
longitude	n. 经度
elongate	v. 延长, 伸长 vt. 伸长
longueur	n. 枯燥的部分或时期
oblong	n. 长方形(椭圆形) adj. 长方形的(椭圆形的)
idiom	n. 成语, 惯用语
idiomatic	adj. 地道的，成语的，符合语言习惯的
idiosyncrasy	n. 特质
idiopathic	adj. [医]先天的，突发性的，特发的
aerial	adj.空气的； 航空的，空中的； 空想的 n.[电讯] 天线
aerate	vt. 充气, 使通气
aerobic	adj. 需氧的, 有氧的, 增氧健身法的
anaerobic	adj. 厌氧的
cadaver	n. 尸体
decadent	adj. 堕落的，颓废的，衰落的 n. 堕落者，颓废派艺术家
cadence	n. 节奏, 韵律，降调句，抑扬顿挫
cadenza	n. [音]装饰乐段, 华彩乐段
tribute	n. 贡品,颂词,称赞,(表示敬意的)礼物
tributary	adj. 纳贡的, 从属的, 补助的 n. 纳贡者, 属国, 支流
attribute	n. 属性, 特征; 标志, 象征 vt. 归于, 属于
retribution	n. 报应, 惩罚, 报复，报偿
halcyon	n. 想像中的一种鸟, 形同翠鸟, 翠鸟 adj. 宁静的, 平稳的
meander	n. 河流的曲折, 漫步, 迂回旅行 v. 漫谈,缓慢而弯曲地流动
Oedipal	adj. 恋母情结的
ostracize	v. 被流放,放逐,排斥
paean	n. 欢乐歌, 赞美歌
philippic	n. 漫骂演说
satyr	n. (希腊及罗马神话)半人半兽的森林之神, 好色之徒, 性欲极强的男人
zealot	n. 热心者, 狂热者 Zealot: 犹太教的狂热信徒